openEuler Repo,Project Name,Required Version,Repo version,Status
,dfs-sdk,1.2.25,,
openstack-neutron,neutron,18.0.0,17.0.0,Need Upgrade
python-kombu,kombu,5.0.2,5.0.2,OK
python-amqp,amqp,5.0.6,5.0.2,Need Upgrade
python-vine,vine,5.0.0,5.0.0,OK
python-oslo.policy,oslo.policy,3.7.0,3.6.0,Need Upgrade
,python-3parclient,4.2.11,,
python-XStatic-D3,XStatic-D3,3.5.17.0,3.5.17.0,OK
,proboscis,1.2.6.0,,
python-PyMySQL,PyMySQL,1.0.2,0.9.3,Need Upgrade
python-os-ken,os-ken,1.4.0,1.2.0,Need Upgrade
,murano-pkg-check,0.3.0,,
python-pydotplus,pydotplus,2.0.2,2.0.2,OK
python-cursive,cursive,0.2.2,0.2.2,OK
python-glanceclient,python-glanceclient,3.3.0,3.2.2,Need Upgrade
python-mox,mox,0.5.3,0.5.3,OK
python-dracclient,python-dracclient,5.1.0,5.1.0,OK
python-tabulate,tabulate,0.8.9,0.8.7,Need Upgrade
python-XStatic-JQuery.TableSorter,XStatic-JQuery.TableSorter,2.14.5.2,2.14.5.2,OK
python-tooz,tooz,2.8.1,2.8.0,Need Upgrade
,python-senlinclient,2.2.1,,
python-tempita,tempita,0.5.2,0.5.2,OK
python-django-pyscss,django-pyscss,2.0.2,2.0.2,OK
python-django,django,3.2.4,2.2.3,Need Upgrade
python-asgiref,asgiref,3.4.0,3.2.10,Need Upgrade
pyScss,pyScss,1.3.7,1.3.7,OK
,purestorage,1.19.0,,
python-rtslib-fb,rtslib-fb,2.1.74,,Need Init
python-pyudev,pyudev,0.22.0,0.22.0,OK
python-XStatic-Font-Awesome,XStatic-Font-Awesome,4.7.0.0,4.7.0.0,OK
python-pymongo,pymongo,3.11.3,3.9.0,Need Upgrade
,gnocchiclient,7.0.6,,
,ujson,4.0.2,,
python-freezegun,freezegun,1.1.0,0.3.8,Need Upgrade
python-httplib2,httplib2,0.19.1,0.19.0,Need Upgrade
python-consul,python-consul,1.1.0,,Need Init
python-oslo.privsep,oslo.privsep,2.5.0,2.4.0,Need Upgrade
python-pyghmi,pyghmi,1.5.23,1.5.19,Need Upgrade
python-glance-store,glance-store,2.5.0,2.4.0,Need Upgrade
python-keystoneclient,python-keystoneclient,4.2.0,4.1.1,Need Upgrade
python-XStatic-bootswatch,XStatic-bootswatch,3.3.7.0,3.3.7.0,OK
,python-lefthandclient,2.0.0,,
python-wsme,wsme,0.10.1,0.10.0,Need Upgrade
python-pifpaf,pifpaf,3.1.5,,Need Init
python-daiquiri,daiquiri,3.0.0,,Need Init
python-json_logger,python-json-logger,2.0.1,,Need Init
python-psutil,psutil,5.8.0,5.4.3,Need Upgrade
python-django-compressor,django-compressor,2.4,2.4,OK
python-django-appconf,django-appconf,1.0.4,1.0.4,OK
python-rcssmin,rcssmin,1.0.6,1.0.6,OK
python-rjsmin,rjsmin,1.1.0,1.1.0,OK
,sphinx-testing,1.0.1,,
python-sphinxcontrib-apidoc,sphinxcontrib-apidoc,0.3.0,0.3.0,OK
python-ldappool,ldappool,3.0.0,2.4.1,Need Upgrade
openstack-nova,nova,23.0.1,22.0.0,Need Upgrade
,discover,0.4.0,,
python-os-xenapi,os-xenapi,0.3.4,0.3.4,OK
python-oslo.messaging,oslo.messaging,12.7.1,12.6.0,Need Upgrade
openstack-ironic,ironic,17.0.3,ictoria,Need Upgrade
python-paste,paste,3.5.0,3.5.0,OK
python-XStatic-Angular-Gettext,XStatic-Angular-Gettext,2.4.1.0,2.4.1.0,OK
python-jaeger-client,jaeger-client,4.4.0,,Need Init
,opentracing,2.4.0,,
,threadloop,1.0.2,,
python-tornado,tornado,6.1,5.0.2,Need Upgrade
thrift,thrift,0.13.0,0.14.0,Need Downgrade
python-troveclient,python-troveclient,7.0.0,,Need Init
python-ironic-inspector-client,python-ironic-inspector-client,4.5.0,4.4.0,Need Upgrade
python-XStatic-Angular-Schema-Form,XStatic-Angular-Schema-Form,0.8.13.0,0.8.13.0,OK
python-statsd,statsd,3.3.0,3.3.0,OK
python-XStatic-JQuery.quicksearch,XStatic-JQuery.quicksearch,2.0.3.2,2.0.3.2,OK
,python-watcherclient,3.2.0,,
python-simplegeneric,simplegeneric,0.8.1,0.8.1,OK
python-XStatic-mdi,XStatic-mdi,1.6.50.2,1.6.50.2,OK
python-sphinxcontrib-actdiag,sphinxcontrib-actdiag,2.0.0,2.0.0,OK
python-actdiag,actdiag,2.0.0,2.0.0,OK
python-blockdiag,blockdiag,2.0.1,2.0.1,OK
python-funcparserlib,funcparserlib,0.3.6,0.3.6,OK
python-pillow,pillow,8.2.0,8.1.1,Need Upgrade
python-webcolors,webcolors,1.11.1,1.11.1,OK
python-os-win,os-win,5.4.0,5.2.0,Need Upgrade
python-oslo.middleware,oslo.middleware,4.2.0,4.1.1,Need Upgrade
,nodeenv,1.6.0,,
,ibm-db-sa,0.3.0,,
python-sphinxcontrib-seqdiag,sphinxcontrib-seqdiag,2.0.0,2.0.0,OK
python-seqdiag,seqdiag,2.0.0,2.0.0,OK
,python-binary-memcached,0.30.1,,
,uhashring,2.1,,
python-pep257,pep257,0.7.0,,Need Init
python-sysv-ipc,sysv-ipc,1.1.0,,Need Init
openstack-ironic-python-agent-builder,ironic-python-agent-builder,2.7.0,2.3.0,Need Upgrade
,os-api-ref,2.1.0,,
python-XStatic-JSEncrypt,XStatic-JSEncrypt,2.3.1.1,2.3.1.1,OK
python-oslotest,oslotest,4.4.1,4.4.1,OK
python-pint,pint,0.16.1,0.16.1,OK
python-neutron-lib,neutron-lib,2.10.1,2.6.1,Need Upgrade
python-tinyrpc,tinyrpc,1.0.4,1.0.4,OK
python-astroid,astroid,2.5,2.0.4,Need Upgrade
python-lazy-object-proxy,lazy-object-proxy,1.6.0,1.3.1,Need Upgrade
python-pyngus,pyngus,2.3.1,,Need Init
qpid-proton,python-qpid-proton,0.34.0,0.31.0,Need Upgrade
python-oslo.versionedobjects,oslo.versionedobjects,2.4.0,2.4.0,OK
openstack-kolla-ansible,kolla-ansible,12.0.0,,Need Init
python-testrepository,testrepository,0.0.20,0.0.20,OK
python-mistralclient,python-mistralclient,4.2.0,,Need Init
python-XStatic-JQuery-Migrate,XStatic-JQuery-Migrate,1.2.1.2,3.3.2.1,Need Downgrade
,trove-tempest-plugin,1.2.0,,
openstack-glance,glance,22.0.0,21.0.0,Need Upgrade
python-oslo.db,oslo.db,8.5.0,8.5.0,OK
,infi-dtypes-iqn,0.4.0,,
python-memcached,python-memcached,1.59,1.58,Need Upgrade
python-futures,futures,3.0.0,3.1.1,Need Downgrade
python-designateclient,python-designateclient,4.2.0,4.1.0,Need Upgrade
ansible,ansible,2.9.0,2.5.5,Need Upgrade
,pre-commit,2.6.0,,
python-cfgv,cfgv,3.3.0,3.1.0,Need Upgrade
python-identify,identify,2.2.10,,Need Init
python-virtualenv,virtualenv,20.4.7,20.3.0,Need Upgrade
python-distlib,distlib,0.3.2,0.3.1,Need Upgrade
python-filelock,filelock,3.0.12,3.0.12,OK
,tempest-lib,0.1.0,,
python-pexpect,pexpect,4.8.0,4.8.0,OK
python-ptyprocess,ptyprocess,0.7.0,0.6.0,Need Upgrade
python-feedparser,feedparser,6.0.8,6.0.2,Need Upgrade
